dataset,n,R,metodo,tiempo
random-muchos-productos,46,3820,BTPodas,3.84051
random-muchos-productos,47,17150,BTPodas,1.18131
random-muchos-productos,48,9841,BTPodas,3.39032
random-muchos-productos,49,17696,BTPodas,12.0379
random-muchos-productos,50,1484,BTPodas,5.91422
random-muchos-productos,51,14172,BTPodas,5.81992
random-muchos-productos,52,17190,BTPodas,9.46403
random-muchos-productos,53,1659,BTPodas,9.03671
random-muchos-productos,54,16099,BTPodas,8.73379
random-muchos-productos,55,12968,BTPodas,10.6698
random-muchos-productos,56,11695,BTPodas,38.4832
random-muchos-productos,57,3781,BTPodas,14.428
random-muchos-productos,58,7405,BTPodas,5.70882
random-muchos-productos,59,18261,BTPodas,7.45477
random-muchos-productos,60,6392,BTPodas,11.3453
random-muchos-productos,61,10792,BTPodas,17.8641
random-muchos-productos,62,2481,BTPodas,21.7778
random-muchos-productos,63,6752,BTPodas,33.0789
random-muchos-productos,64,13359,BTPodas,44.6004
random-muchos-productos,65,10956,BTPodas,20.1959
random-muchos-productos,66,7485,BTPodas,17.7415
random-muchos-productos,67,4932,BTPodas,152.474
random-muchos-productos,68,10118,BTPodas,51.532
random-muchos-productos,69,9839,BTPodas,46.9615
random-muchos-productos,70,529,BTPodas,31.1511
random-muchos-productos,71,19187,BTPodas,73.9172
random-muchos-productos,72,14149,BTPodas,376.139
random-muchos-productos,73,6688,BTPodas,146.236
random-muchos-productos,74,5641,BTPodas,74.5249
random-muchos-productos,75,11495,BTPodas,36.3642
random-muchos-productos,76,14057,BTPodas,45.1827
random-muchos-productos,77,8410,BTPodas,152.406
random-muchos-productos,78,19074,BTPodas,138.475
random-muchos-productos,79,4617,BTPodas,120.092
random-muchos-productos,80,13421,BTPodas,113.914
random-muchos-productos,81,13655,BTPodas,106.175
random-muchos-productos,82,18056,BTPodas,529.837
random-muchos-productos,83,4934,BTPodas,410.529
random-muchos-productos,84,2407,BTPodas,213.242
random-muchos-productos,85,17401,BTPodas,348.511
random-muchos-productos,86,10409,BTPodas,449.07
random-muchos-productos,87,4160,BTPodas,608.821
random-muchos-productos,88,9185,BTPodas,314.588
random-muchos-productos,89,5921,BTPodas,346.459
random-muchos-productos,90,2936,BTPodas,376.346
random-muchos-productos,91,16637,BTPodas,8204.79
random-muchos-productos,92,2401,BTPodas,1332.67
random-muchos-productos,93,9038,BTPodas,830.177
random-muchos-productos,94,4264,BTPodas,941.882
random-muchos-productos,95,12188,BTPodas,827.284
random-muchos-productos,96,17321,BTPodas,284.576
random-muchos-productos,97,5879,BTPodas,351.943
random-muchos-productos,98,14476,BTPodas,283.191
random-muchos-productos,99,9474,BTPodas,860.494
random-muchos-productos,100,2210,BTPodas,576.472
random-muchos-productos,101,17399,BTPodas,699.352
random-muchos-productos,102,18605,BTPodas,748.796
random-muchos-productos,103,17334,BTPodas,482.499
random-muchos-productos,104,19948,BTPodas,1257.08
random-muchos-productos,105,2643,BTPodas,34472.6
random-muchos-productos,106,18541,BTPodas,822.735
random-muchos-productos,107,2315,BTPodas,7899.89
random-muchos-productos,108,11453,BTPodas,319.792
random-muchos-productos,109,7478,BTPodas,1972.96
random-muchos-productos,110,14043,BTPodas,4348.2
random-muchos-productos,111,15988,BTPodas,764.149
random-muchos-productos,112,8460,BTPodas,1980.98
random-muchos-productos,113,1459,BTPodas,5310.41
random-muchos-productos,114,4536,BTPodas,517.059
random-muchos-productos,115,7070,BTPodas,7032.57
random-muchos-productos,116,16523,BTPodas,2280.59
random-muchos-productos,117,2528,BTPodas,2155.72
random-muchos-productos,118,17636,BTPodas,4005.98
random-muchos-productos,119,6772,BTPodas,7633.13
random-muchos-productos,120,1290,BTPodas,843.525
random-muchos-productos,121,13260,BTPodas,3510.95
random-muchos-productos,122,16707,BTPodas,1909.26
random-muchos-productos,123,9023,BTPodas,6486.61
random-muchos-productos,124,17401,BTPodas,1346.97
random-muchos-productos,125,8591,BTPodas,6058.03
random-muchos-productos,126,5201,BTPodas,19255.3
random-muchos-productos,127,10393,BTPodas,1720.14
random-muchos-productos,128,7865,BTPodas,659.647
random-muchos-productos,129,12991,BTPodas,5804.66
random-muchos-productos,130,12153,BTPodas,9413.65
random-muchos-productos,131,12086,BTPodas,45084.2
random-muchos-productos,132,18178,BTPodas,8161.14
random-muchos-productos,133,7203,BTPodas,107551.0
random-muchos-productos,134,5263,BTPodas,8101.96
random-muchos-productos,135,9550,BTPodas,82006.5
random-muchos-productos,136,11947,BTPodas,2791.84
random-muchos-productos,137,2022,BTPodas,39767.6
random-muchos-productos,138,15202,BTPodas,27444.5
random-muchos-productos,139,3709,BTPodas,5940.77
random-muchos-productos,140,10653,BTPodas,99837.1
